Time,V.A.POS.C,A.POS.Z,V.PLC.R[201],V.PLC.R[202],V.PLC.R[203],V.PLC.R[204],V.PLC.R[205],V.PLC.R[206],V.PLC.R[207],V.PLC.R[208],V.PLC.R[209],V.PLC.R[210],V.PLC.R[211],V.PLC.R[212],V.A.FEED.Z,V.A.FEED.Z1,A.ACCEL.Z,A.ACCEL.Z1
1679489747024,0.0006,3150.0,0.4398,9.2358,30.0,28.8,0.0,0.0,134283.052,134219.692,-0.0054,0.1964,0.2,3.7,0.0,-5e-05,0.0,-0.125
1679489747028,0.0006,3150.0,0.4398,9.4557,30.0,28.8,0.0,0.0,134283.052,134219.692,-0.0054,0.1964,0.2,3.7,0.0,5e-05,0.0,0.25
1679489747032,34.9996,0.0,1.6126,6.083900000000001,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,0.1102,0.0931,0.6000000000000001,2.5,0.0,0.0,0.0,0.0
1679489747036,34.9996,0.0,1.5393,6.0106,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,0.1102,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747040,34.9996,0.0,1.3927,6.3771,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747044,34.9996,0.0,1.5393,6.2305,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747048,34.9996,0.0,1.6126,6.2305,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747052,34.9996,0.0,1.3927,6.1572000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747056,34.9996,0.0,1.4660000000000002,5.7174000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747060,34.9996,0.0,1.6126,6.2305,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747064,34.9996,0.0,1.6859000000000002,6.2305,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747068,34.9996,0.0,1.6126,6.3771,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747072,34.9996,0.0,1.3194,6.2305,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.0625
1679489747076,34.9996,0.0,1.6859000000000002,5.9373000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,-5e-05,0.0,-0.1875
1679489747080,34.9996,0.0,1.3194,5.9373000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,2.5e-05,0.0,0.1875
1679489747084,34.9996,0.0,1.6126,6.1572000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,-0.0625
1679489747088,34.9996,0.0,1.4660000000000002,6.1572000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134281.428,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747092,34.9996,0.0,1.4660000000000002,6.303800000000001,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747096,34.9996,0.0,1.5393,6.1572000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747100,34.9996,0.0,1.5393,6.303800000000001,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747104,34.9996,0.0,1.5393,6.0106,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747108,34.9996,0.0,1.3927,5.9373000000000005,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0931,0.6000000000000001,2.4000000000000004,0.0,0.0,0.0,0.0
1679489747112,34.9996,0.0,1.3927,6.0106,30.0,28.8,0.0,0.0,134218.83000000002,134218.659,-0.2274,0.0286,0.6000000000000001,2.4000000000000004,0.0,-2.5e-05,0.0,-0.0625
